"","value_date","variable_name","location","measurement_unit","value"
"80","2010-01-02 01:45:00","138","2450250","CMS","3.90772488600004"
"81","2010-01-02 02:00:00","138","2450250","CMS","3.90772488600004"
"82","2010-01-02 02:15:00","138","2450250","CMS","3.90772488600004"
"83","2010-01-02 02:30:00","137","2450250","CMS","3.87940803900003"
"84","2010-01-02 02:45:00","138","2450250","CMS","3.90772488600004"
"85","2010-01-02 03:00:00","137","2450250","CMS","3.87940803900003"
"86","2010-01-02 03:15:00","137","2450250","CMS","3.87940803900003"
"87","2010-01-02 03:30:00","137","2450250","CMS","3.87940803900003"
"88","2010-01-02 03:45:00","137","2450250","CMS","3.87940803900003"
"89","2010-01-02 04:00:00","137","2450250","CMS","3.87940803900003"
"90","2010-01-02 04:15:00","137","2450250","CMS","3.87940803900003"
"91","2010-01-02 04:30:00","135","2450250","CMS","3.82277434500003"
"92","2010-01-02 04:45:00","135","2450250","CMS","3.82277434500003"
"93","2010-01-02 05:00:00","135","2450250","CMS","3.82277434500003"
"94","2010-01-02 05:15:00","135","2450250","CMS","3.82277434500003"
"95","2010-01-02 05:30:00","135","2450250","CMS","3.82277434500003"
"96","2010-01-02 05:45:00","135","2450250","CMS","3.82277434500003"
"97","2010-01-02 06:00:00","135","2450250","CMS","3.82277434500003"
"98","2010-01-02 06:15:00","135","2450250","CMS","3.82277434500003"
"99","2010-01-02 06:30:00","135","2450250","CMS","3.82277434500003"
"100","2010-01-02 06:45:00","135","2450250","CMS","3.82277434500003"
"101","2010-01-02 07:00:00","133","2450250","CMS","3.76614065100003"
"102","2010-01-02 07:15:00","133","2450250","CMS","3.76614065100003"
"103","2010-01-02 07:30:00","133","2450250","CMS","3.76614065100003"
"104","2010-01-02 07:45:00","133","2450250","CMS","3.76614065100003"
"105","2010-01-02 08:00:00","133","2450250","CMS","3.76614065100003"
"106","2010-01-02 08:15:00","133","2450250","CMS","3.76614065100003"
"107","2010-01-02 08:30:00","133","2450250","CMS","3.76614065100003"
"108","2010-01-02 08:45:00","133","2450250","CMS","3.76614065100003"
"109","2010-01-02 09:00:00","133","2450250","CMS","3.76614065100003"
"110","2010-01-02 09:15:00","133","2450250","CMS","3.76614065100003"
"111","2010-01-02 09:30:00","133","2450250","CMS","3.76614065100003"
"112","2010-01-02 09:45:00","133","2450250","CMS","3.76614065100003"
"113","2010-01-02 10:00:00","132","2450250","CMS","3.73782380400003"
"114","2010-01-02 10:15:00","132","2450250","CMS","3.73782380400003"
"115","2010-01-02 10:30:00","132","2450250","CMS","3.73782380400003"
"116","2010-01-02 10:45:00","132","2450250","CMS","3.73782380400003"
"117","2010-01-02 11:00:00","132","2450250","CMS","3.73782380400003"
"118","2010-01-02 11:15:00","132","2450250","CMS","3.73782380400003"
"119","2010-01-02 11:30:00","132","2450250","CMS","3.73782380400003"
"120","2010-01-02 11:45:00","132","2450250","CMS","3.73782380400003"
"121","2010-01-02 12:00:00","132","2450250","CMS","3.73782380400003"
"122","2010-01-02 12:15:00","132","2450250","CMS","3.73782380400003"
"123","2010-01-02 12:30:00","130","2450250","CMS","3.68119011000003"
"124","2010-01-02 12:45:00","132","2450250","CMS","3.73782380400003"
"125","2010-01-02 13:00:00","132","2450250","CMS","3.73782380400003"
"126","2010-01-02 13:15:00","130","2450250","CMS","3.68119011000003"
"127","2010-01-02 13:30:00","130","2450250","CMS","3.68119011000003"
"128","2010-01-02 13:45:00","130","2450250","CMS","3.68119011000003"
"129","2010-01-02 14:00:00","130","2450250","CMS","3.68119011000003"
"130","2010-01-02 14:15:00","130","2450250","CMS","3.68119011000003"
"131","2010-01-02 14:30:00","130","2450250","CMS","3.68119011000003"
"132","2010-01-02 14:45:00","130","2450250","CMS","3.68119011000003"
"133","2010-01-02 15:00:00","128","2450250","CMS","3.62455641600003"
"134","2010-01-02 15:15:00","130","2450250","CMS","3.68119011000003"
"135","2010-01-02 15:30:00","130","2450250","CMS","3.68119011000003"
"136","2010-01-02 15:45:00","130","2450250","CMS","3.68119011000003"
"137","2010-01-02 16:00:00","130","2450250","CMS","3.68119011000003"
"138","2010-01-02 16:15:00","130","2450250","CMS","3.68119011000003"
"139","2010-01-02 16:30:00","130","2450250","CMS","3.68119011000003"
"140","2010-01-02 16:45:00","130","2450250","CMS","3.68119011000003"
"141","2010-01-02 17:00:00","128","2450250","CMS","3.62455641600003"
"142","2010-01-02 17:15:00","128","2450250","CMS","3.62455641600003"
"143","2010-01-02 17:30:00","130","2450250","CMS","3.68119011000003"
"144","2010-01-02 17:45:00","130","2450250","CMS","3.68119011000003"
"145","2010-01-02 18:00:00","128","2450250","CMS","3.62455641600003"
"146","2010-01-02 18:15:00","128","2450250","CMS","3.62455641600003"
"147","2010-01-02 18:30:00","128","2450250","CMS","3.62455641600003"
"148","2010-01-02 18:45:00","128","2450250","CMS","3.62455641600003"
"149","2010-01-02 19:00:00","128","2450250","CMS","3.62455641600003"
"150","2010-01-02 19:15:00","128","2450250","CMS","3.62455641600003"
"151","2010-01-02 19:30:00","128","2450250","CMS","3.62455641600003"
"152","2010-01-02 19:45:00","128","2450250","CMS","3.62455641600003"
"153","2010-01-02 20:00:00","126","2450250","CMS","3.56792272200003"
"154","2010-01-02 20:15:00","128","2450250","CMS","3.62455641600003"
"155","2010-01-02 20:30:00","128","2450250","CMS","3.62455641600003"
"156","2010-01-02 20:45:00","126","2450250","CMS","3.56792272200003"
"157","2010-01-02 21:00:00","126","2450250","CMS","3.56792272200003"
"158","2010-01-02 21:15:00","126","2450250","CMS","3.56792272200003"
"159","2010-01-02 21:30:00","126","2450250","CMS","3.56792272200003"
"160","2010-01-02 21:45:00","126","2450250","CMS","3.56792272200003"
"161","2010-01-02 22:00:00","126","2450250","CMS","3.56792272200003"
"162","2010-01-02 22:15:00","125","2450250","CMS","3.53960587500003"
"163","2010-01-02 22:30:00","125","2450250","CMS","3.53960587500003"
"164","2010-01-02 22:45:00","125","2450250","CMS","3.53960587500003"
"165","2010-01-02 23:00:00","125","2450250","CMS","3.53960587500003"
"166","2010-01-02 23:15:00","125","2450250","CMS","3.53960587500003"
"167","2010-01-02 23:30:00","125","2450250","CMS","3.53960587500003"
"168","2010-01-02 23:45:00","125","2450250","CMS","3.53960587500003"
"169","2010-01-03 00:00:00","125","2450250","CMS","3.53960587500003"
"170","2010-01-03 00:15:00","125","2450250","CMS","3.53960587500003"
"171","2010-01-03 00:30:00","125","2450250","CMS","3.53960587500003"
"172","2010-01-03 00:45:00","125","2450250","CMS","3.53960587500003"
"173","2010-01-03 01:00:00","125","2450250","CMS","3.53960587500003"
"174","2010-01-03 01:15:00","123","2450250","CMS","3.48297218100003"
"175","2010-01-03 01:30:00","125","2450250","CMS","3.53960587500003"
"176","2010-01-03 01:45:00","123","2450250","CMS","3.48297218100003"
"177","2010-01-03 02:00:00","123","2450250","CMS","3.48297218100003"
"178","2010-01-03 02:15:00","123","2450250","CMS","3.48297218100003"
"179","2010-01-03 02:30:00","123","2450250","CMS","3.48297218100003"
"180","2010-01-03 02:45:00","123","2450250","CMS","3.48297218100003"
"181","2010-01-03 03:00:00","123","2450250","CMS","3.48297218100003"
"182","2010-01-03 03:15:00","123","2450250","CMS","3.48297218100003"
"183","2010-01-03 03:30:00","123","2450250","CMS","3.48297218100003"
"184","2010-01-03 03:45:00","123","2450250","CMS","3.48297218100003"
"185","2010-01-03 04:00:00","123","2450250","CMS","3.48297218100003"
"186","2010-01-03 04:15:00","123","2450250","CMS","3.48297218100003"
