"","secs","timest","st_id","st_lon","st_lat","q_cms","q_cfs","dpth_m","POSIXct","wy","dateTime"
"42",151200,"2010-01-02 19:00:00","    18578829",-87.38462,34.28121,3.039,107.321,0,2010-01-02 19:00:00,2010,2010-01-02 19:00:00
"43",154800,"2010-01-02 20:00:00","    18578829",-87.38462,34.28121,2.829,99.905,0,2010-01-02 20:00:00,2010,2010-01-02 20:00:00
"44",158400,"2010-01-02 21:00:00","    18578829",-87.38462,34.28121,2.635,93.061,0,2010-01-02 21:00:00,2010,2010-01-02 21:00:00
"45",162000,"2010-01-02 22:00:00","    18578829",-87.38462,34.28121,2.457,86.754,0,2010-01-02 22:00:00,2010,2010-01-02 22:00:00
"46",165600,"2010-01-02 23:00:00","    18578829",-87.38462,34.28121,2.292,80.949,0,2010-01-02 23:00:00,2010,2010-01-02 23:00:00
"47",169200,"2010-01-03 00:00:00","    18578829",-87.38462,34.28121,2.141,75.608,0,2010-01-03 00:00:00,2010,2010-01-03 00:00:00
"48",172800,"2010-01-03 01:00:00","    18578829",-87.38462,34.28121,2.001,70.661,0,2010-01-03 01:00:00,2010,2010-01-03 01:00:00
"49",176400,"2010-01-03 02:00:00","    18578829",-87.38462,34.28121,1.869,66.015,0,2010-01-03 02:00:00,2010,2010-01-03 02:00:00
"50",180000,"2010-01-03 03:00:00","    18578829",-87.38462,34.28121,1.747,61.711,0,2010-01-03 03:00:00,2010,2010-01-03 03:00:00
"51",183600,"2010-01-03 04:00:00","    18578829",-87.38462,34.28121,1.636,57.763,0,2010-01-03 04:00:00,2010,2010-01-03 04:00:00
"52",187200,"2010-01-03 05:00:00","    18578829",-87.38462,34.28121,1.533,54.123,0,2010-01-03 05:00:00,2010,2010-01-03 05:00:00
"53",190800,"2010-01-03 06:00:00","    18578829",-87.38462,34.28121,1.437,50.735,0,2010-01-03 06:00:00,2010,2010-01-03 06:00:00
"54",194400,"2010-01-03 07:00:00","    18578829",-87.38462,34.28121,1.347,47.565,0,2010-01-03 07:00:00,2010,2010-01-03 07:00:00
"55",198000,"2010-01-03 08:00:00","    18578829",-87.38462,34.28121,1.263,44.593,0,2010-01-03 08:00:00,2010,2010-01-03 08:00:00
"56",201600,"2010-01-03 09:00:00","    18578829",-87.38462,34.28121,1.184,41.8,0,2010-01-03 09:00:00,2010,2010-01-03 09:00:00
"57",205200,"2010-01-03 10:00:00","    18578829",-87.38462,34.28121,1.109,39.168,0,2010-01-03 10:00:00,2010,2010-01-03 10:00:00
"58",208800,"2010-01-03 11:00:00","    18578829",-87.38462,34.28121,1.039,36.7,0,2010-01-03 11:00:00,2010,2010-01-03 11:00:00
"59",212400,"2010-01-03 12:00:00","    18578829",-87.38462,34.28121,0.974,34.382,0,2010-01-03 12:00:00,2010,2010-01-03 12:00:00
"60",216000,"2010-01-03 13:00:00","    18578829",-87.38462,34.28121,0.911,32.178,0,2010-01-03 13:00:00,2010,2010-01-03 13:00:00
"61",219600,"2010-01-03 14:00:00","    18578829",-87.38462,34.28121,0.849,29.996,0,2010-01-03 14:00:00,2010,2010-01-03 14:00:00
"62",223200,"2010-01-03 15:00:00","    18578829",-87.38462,34.28121,0.79,27.885,0,2010-01-03 15:00:00,2010,2010-01-03 15:00:00
"63",226800,"2010-01-03 16:00:00","    18578829",-87.38462,34.28121,0.732,25.86,0,2010-01-03 16:00:00,2010,2010-01-03 16:00:00
"64",230400,"2010-01-03 17:00:00","    18578829",-87.38462,34.28121,0.677,23.896,0,2010-01-03 17:00:00,2010,2010-01-03 17:00:00
"65",234000,"2010-01-03 18:00:00","    18578829",-87.38462,34.28121,0.623,22.006,0,2010-01-03 18:00:00,2010,2010-01-03 18:00:00
"66",237600,"2010-01-03 19:00:00","    18578829",-87.38462,34.28121,0.572,20.213,0,2010-01-03 19:00:00,2010,2010-01-03 19:00:00
"67",241200,"2010-01-03 20:00:00","    18578829",-87.38462,34.28121,0.477,16.83,0,2010-01-03 20:00:00,2010,2010-01-03 20:00:00
"68",244800,"2010-01-03 21:00:00","    18578829",-87.38462,34.28121,0.403,14.234,0,2010-01-03 21:00:00,2010,2010-01-03 21:00:00
"69",248400,"2010-01-03 22:00:00","    18578829",-87.38462,34.28121,0.36,12.716,0,2010-01-03 22:00:00,2010,2010-01-03 22:00:00
"70",252000,"2010-01-03 23:00:00","    18578829",-87.38462,34.28121,0.324,11.447,0,2010-01-03 23:00:00,2010,2010-01-03 23:00:00
"71",255600,"2010-01-04 00:00:00","    18578829",-87.38462,34.28121,0.289,10.216,0,2010-01-04 00:00:00,2010,2010-01-04 00:00:00
"72",259200,"2010-01-04 01:00:00","    18578829",-87.38462,34.28121,0.256,9.036,0,2010-01-04 01:00:00,2010,2010-01-04 01:00:00
"73",262800,"2010-01-04 02:00:00","    18578829",-87.38462,34.28121,0.225,7.95,0,2010-01-04 02:00:00,2010,2010-01-04 02:00:00
"74",266400,"2010-01-04 03:00:00","    18578829",-87.38462,34.28121,0.197,6.971,0,2010-01-04 03:00:00,2010,2010-01-04 03:00:00
"75",270000,"2010-01-04 04:00:00","    18578829",-87.38462,34.28121,0.16,5.658,0,2010-01-04 04:00:00,2010,2010-01-04 04:00:00
"76",273600,"2010-01-04 05:00:00","    18578829",-87.38462,34.28121,0.116,4.112,0,2010-01-04 05:00:00,2010,2010-01-04 05:00:00
"77",277200,"2010-01-04 06:00:00","    18578829",-87.38462,34.28121,0.085,3.015,0,2010-01-04 06:00:00,2010,2010-01-04 06:00:00
"78",280800,"2010-01-04 07:00:00","    18578829",-87.38462,34.28121,0.066,2.342,0,2010-01-04 07:00:00,2010,2010-01-04 07:00:00
"79",284400,"2010-01-04 08:00:00","    18578829",-87.38462,34.28121,0.055,1.947,0,2010-01-04 08:00:00,2010,2010-01-04 08:00:00
"80",288000,"2010-01-04 09:00:00","    18578829",-87.38462,34.28121,0.049,1.714,0,2010-01-04 09:00:00,2010,2010-01-04 09:00:00
"81",291600,"2010-01-04 10:00:00","    18578829",-87.38462,34.28121,0.044,1.568,0,2010-01-04 10:00:00,2010,2010-01-04 10:00:00
