"","start_date","value_date","variable_name","location","measurement_unit","value"
"68","2010-01-01 01:00:00","2010-01-03 21:00:00","SQIN",18578829,"CMS",0.403
"69","2010-01-01 01:00:00","2010-01-03 22:00:00","SQIN",18578829,"CMS",0.36
"70","2010-01-01 01:00:00","2010-01-03 23:00:00","SQIN",18578829,"CMS",0.324
"71","2010-01-01 01:00:00","2010-01-04 00:00:00","SQIN",18578829,"CMS",0.289
"72","2010-01-01 01:00:00","2010-01-04 01:00:00","SQIN",18578829,"CMS",0.256
"73","2010-01-01 01:00:00","2010-01-04 02:00:00","SQIN",18578829,"CMS",0.225
"74","2010-01-01 01:00:00","2010-01-04 03:00:00","SQIN",18578829,"CMS",0.197
"75","2010-01-01 01:00:00","2010-01-04 04:00:00","SQIN",18578829,"CMS",0.16
"76","2010-01-01 01:00:00","2010-01-04 05:00:00","SQIN",18578829,"CMS",0.116
"77","2010-01-01 01:00:00","2010-01-04 06:00:00","SQIN",18578829,"CMS",0.085
"78","2010-01-01 01:00:00","2010-01-04 07:00:00","SQIN",18578829,"CMS",0.066
"79","2010-01-01 01:00:00","2010-01-04 08:00:00","SQIN",18578829,"CMS",0.055
"80","2010-01-01 01:00:00","2010-01-04 09:00:00","SQIN",18578829,"CMS",0.049
"81","2010-01-01 01:00:00","2010-01-04 10:00:00","SQIN",18578829,"CMS",0.044
"82","2010-01-01 01:00:00","2010-01-04 11:00:00","SQIN",18578829,"CMS",0.042
"83","2010-01-01 01:00:00","2010-01-04 12:00:00","SQIN",18578829,"CMS",0.04
"84","2010-01-01 01:00:00","2010-01-04 13:00:00","SQIN",18578829,"CMS",0.038
"85","2010-01-01 01:00:00","2010-01-04 14:00:00","SQIN",18578829,"CMS",0.037
"86","2010-01-01 01:00:00","2010-01-04 15:00:00","SQIN",18578829,"CMS",0.035
"87","2010-01-01 01:00:00","2010-01-04 16:00:00","SQIN",18578829,"CMS",0.034
"88","2010-01-01 01:00:00","2010-01-04 17:00:00","SQIN",18578829,"CMS",0.033
"89","2010-01-01 01:00:00","2010-01-04 18:00:00","SQIN",18578829,"CMS",0.032
"90","2010-01-01 01:00:00","2010-01-04 19:00:00","SQIN",18578829,"CMS",0.032
"91","2010-01-01 01:00:00","2010-01-04 20:00:00","SQIN",18578829,"CMS",0.031
"92","2010-01-01 01:00:00","2010-01-04 21:00:00","SQIN",18578829,"CMS",0.03
"93","2010-01-01 01:00:00","2010-01-04 22:00:00","SQIN",18578829,"CMS",0.029
"94","2010-01-01 01:00:00","2010-01-04 23:00:00","SQIN",18578829,"CMS",0.028
"95","2010-01-01 01:00:00","2010-01-05 00:00:00","SQIN",18578829,"CMS",0.028
"96","2010-01-01 01:00:00","2010-01-05 01:00:00","SQIN",18578829,"CMS",0.027
"97","2010-01-01 01:00:00","2010-01-05 02:00:00","SQIN",18578829,"CMS",0.026
"98","2010-01-01 01:00:00","2010-01-05 03:00:00","SQIN",18578829,"CMS",0.026
"99","2010-01-01 01:00:00","2010-01-05 04:00:00","SQIN",18578829,"CMS",0.025
"100","2010-01-01 01:00:00","2010-01-05 05:00:00","SQIN",18578829,"CMS",0.025
"101","2010-01-01 01:00:00","2010-01-05 06:00:00","SQIN",18578829,"CMS",0.024
"102","2010-01-01 01:00:00","2010-01-05 07:00:00","SQIN",18578829,"CMS",0.023
"103","2010-01-01 01:00:00","2010-01-05 08:00:00","SQIN",18578829,"CMS",0.023
"104","2010-01-01 01:00:00","2010-01-05 09:00:00","SQIN",18578829,"CMS",0.022
"105","2010-01-01 01:00:00","2010-01-05 10:00:00","SQIN",18578829,"CMS",0.022
"106","2010-01-01 01:00:00","2010-01-05 11:00:00","SQIN",18578829,"CMS",0.021
"107","2010-01-01 01:00:00","2010-01-05 12:00:00","SQIN",18578829,"CMS",0.021
"108","2010-01-01 01:00:00","2010-01-05 13:00:00","SQIN",18578829,"CMS",0.02
"109","2010-01-01 01:00:00","2010-01-05 14:00:00","SQIN",18578829,"CMS",0.02
"110","2010-01-01 01:00:00","2010-01-05 15:00:00","SQIN",18578829,"CMS",0.02
"111","2010-01-01 01:00:00","2010-01-05 16:00:00","SQIN",18578829,"CMS",0.019
"112","2010-01-01 01:00:00","2010-01-05 17:00:00","SQIN",18578829,"CMS",0.019
"113","2010-01-01 01:00:00","2010-01-05 18:00:00","SQIN",18578829,"CMS",0.018
"114","2010-01-01 01:00:00","2010-01-05 19:00:00","SQIN",18578829,"CMS",0.018
"115","2010-01-01 01:00:00","2010-01-05 20:00:00","SQIN",18578829,"CMS",0.018
"116","2010-01-01 01:00:00","2010-01-05 21:00:00","SQIN",18578829,"CMS",0.017
"117","2010-01-01 01:00:00","2010-01-05 22:00:00","SQIN",18578829,"CMS",0.017
"118","2010-01-01 01:00:00","2010-01-05 23:00:00","SQIN",18578829,"CMS",0.017
"119","2010-01-01 01:00:00","2010-01-06 00:00:00","SQIN",18578829,"CMS",0.016
"120","2010-01-01 01:00:00","2010-01-06 01:00:00","SQIN",18578829,"CMS",0.016
"121","2010-01-01 01:00:00","2010-01-06 02:00:00","SQIN",18578829,"CMS",0.016
"122","2010-01-01 01:00:00","2010-01-06 03:00:00","SQIN",18578829,"CMS",0.015
"123","2010-01-01 01:00:00","2010-01-06 04:00:00","SQIN",18578829,"CMS",0.015
"124","2010-01-01 01:00:00","2010-01-06 05:00:00","SQIN",18578829,"CMS",0.015
"125","2010-01-01 01:00:00","2010-01-06 06:00:00","SQIN",18578829,"CMS",0.015
"126","2010-01-01 01:00:00","2010-01-06 07:00:00","SQIN",18578829,"CMS",0.014
"127","2010-01-01 01:00:00","2010-01-06 08:00:00","SQIN",18578829,"CMS",0.014
"128","2010-01-01 01:00:00","2010-01-06 09:00:00","SQIN",18578829,"CMS",0.014
"129","2010-01-01 01:00:00","2010-01-06 10:00:00","SQIN",18578829,"CMS",0.014
"130","2010-01-01 01:00:00","2010-01-06 11:00:00","SQIN",18578829,"CMS",0.013
