"NSE"
"qs0",0.0687382961883112
"lnTe",0.118653214025904
"m",0.26849964621677
"Sr0",0.124688003566442
"Srmax",0.195468520211684
"td",0.130836629783962
"vch",0.134654358697416
"vr",0.127106029116839
"k0",0.127302525977248
"CD",0.114508787582918
"NSE"
"qs0",0.0687382961883112
"lnTe",0.118653214025904
"m",0.26849964621677
"Sr0",0.124688003566442
"Srmax",0.195468520211684
"td",0.130836629783962
"vch",0.134654358697416
"vr",0.127106029116839
"k0",0.127302525977248
"CD",0.114508787582918
"NSE"
"qs0",0.0687382961883112
"lnTe",0.118653214025904
"m",0.26849964621677
"Sr0",0.124688003566442
"Srmax",0.195468520211684
"td",0.130836629783962
"vch",0.134654358697416
"vr",0.127106029116839
"k0",0.127302525977248
"CD",0.114508787582918
