w,n_imperv,n_perv,s_imperv,s_perv,k_sat,per_routed,cmelt,Tb,A1,B1
1219.7265625,0.123369140625,0.013525390625,1.767578125,7.802734375,4.078193359375,54.58984375,1.59765625,-2.994140625,0.00032236328125,2.169921875
1219.7265625,0.135615234375,0.177919921875,6.435546875,8.701171875,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.123369140625,0.177919921875,6.435546875,8.701171875,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.013525390625,6.435546875,8.701171875,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.177919921875,1.767578125,8.701171875,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.177919921875,6.435546875,7.802734375,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.177919921875,6.435546875,8.701171875,4.078193359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.177919921875,6.435546875,8.701171875,2.205068359375,54.58984375,1.96484375,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.177919921875,6.435546875,8.701171875,2.205068359375,84.47265625,1.59765625,-1.646484375,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.177919921875,6.435546875,8.701171875,2.205068359375,84.47265625,1.96484375,-2.994140625,0.00032236328125,1.099609375
1254.8828125,0.135615234375,0.177919921875,6.435546875,8.701171875,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,2.169921875
1254.8828125,0.135615234375,0.177919921875,6.435546875,8.701171875,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00032236328125,1.099609375
1344.7265625,0.194619140625,0.13227539062500002,8.017578125,6.552734375,2.829443359375,92.08984375,2.09765625,2.255859375,0.00202392578125,1.919921875
1129.8828125,0.194619140625,0.13227539062500002,8.017578125,6.552734375,2.829443359375,92.08984375,2.09765625,2.255859375,0.00202392578125,1.919921875
1344.7265625,0.159365234375,0.13227539062500002,8.017578125,6.552734375,2.829443359375,92.08984375,2.09765625,2.255859375,0.00202392578125,1.919921875
1344.7265625,0.194619140625,0.059169921875,8.017578125,6.552734375,2.829443359375,92.08984375,2.09765625,2.255859375,0.00202392578125,1.919921875
1344.7265625,0.194619140625,0.13227539062500002,7.685546875,6.552734375,2.829443359375,92.08984375,2.09765625,2.255859375,0.00202392578125,1.919921875
1344.7265625,0.194619140625,0.13227539062500002,8.017578125,2.451171875,2.829443359375,92.08984375,2.09765625,2.255859375,0.00202392578125,1.919921875
1344.7265625,0.194619140625,0.13227539062500002,8.017578125,6.552734375,3.453818359375,92.08984375,2.09765625,2.255859375,0.00202392578125,1.919921875
1344.7265625,0.194619140625,0.13227539062500002,8.017578125,6.552734375,2.829443359375,92.08984375,2.46484375,2.255859375,0.00202392578125,1.919921875
1344.7265625,0.194619140625,0.13227539062500002,8.017578125,6.552734375,2.829443359375,92.08984375,2.09765625,2.255859375,0.0015598632812500002,1.919921875
563.4765625,0.046181640625,0.019462890625,4.580078125,6.240234375,2.517255859375,95.21484375,3.22265625,-2.806640625,0.0006317382812500001,2.482421875
723.6328125,0.094052734375,0.053232421875000005,6.748046875,6.513671875,6.263505859375,95.21484375,3.08984375,2.291015625,0.0006317382812500001,2.662109375
848.6328125,0.069931640625,0.124482421875,7.998046875,2.763671875,7.512255859375,93.84765625,0.58984375,1.541015625,0.00186923828125,2.912109375
1188.4765625,0.022431640625,0.185712890625,8.330078125,2.490234375,6.263505859375,82.71484375,3.72265625,-2.056640625,0.00047705078125,2.232421875
1098.6328125,0.022431640625,0.185712890625,8.330078125,2.490234375,6.263505859375,82.71484375,3.72265625,-2.056640625,0.00047705078125,2.232421875
1188.4765625,0.070302734375,0.185712890625,8.330078125,2.490234375,6.263505859375,82.71484375,3.72265625,-2.056640625,0.00047705078125,2.232421875
1188.4765625,0.022431640625,0.171982421875,8.330078125,2.490234375,6.263505859375,82.71484375,3.72265625,-2.056640625,0.00047705078125,2.232421875
