w,n_imperv,n_perv,s_imperv,s_perv,k_sat,per_routed,cmelt,Tb,A1,B1
719.7265625,0.028369140625,0.108525390625,6.767578125,2.802734375,9.073193359375,4.58984375,3.59765625,0.005859375,0.005272363281250001,1.169921875
754.8828125,0.040615234375,0.082919921875,1.435546875,3.701171875,7.200068359375,34.47265625,3.96484375,1.353515625,0.005272363281250001,1.169921875
1219.7265625,0.123369140625,0.013525390625,1.767578125,7.802734375,4.078193359375,54.58984375,1.59765625,-2.994140625,0.00573642578125,1.099609375
1254.8828125,0.135615234375,0.177919921875,6.435546875,8.701171875,2.205068359375,84.47265625,1.96484375,-1.646484375,0.00573642578125,1.099609375
1004.8828125,0.075869140625,0.156025390625,9.267578125,5.302734375,1.580693359375,29.58984375,0.59765625,-1.494140625,0.00821142578125,2.669921875
1469.7265625,0.08811523437499999,0.156025390625,9.267578125,5.302734375,1.580693359375,29.58984375,0.59765625,-1.494140625,0.00821142578125,2.669921875
1469.7265625,0.075869140625,0.035419921875,9.267578125,5.302734375,1.580693359375,29.58984375,0.59765625,-1.494140625,0.00821142578125,2.669921875
1469.7265625,0.075869140625,0.156025390625,9.267578125,1.201171875,1.580693359375,29.58984375,0.59765625,-1.494140625,0.00821142578125,2.669921875
1469.7265625,0.075869140625,0.156025390625,9.267578125,5.302734375,1.580693359375,9.47265625,0.59765625,-1.494140625,0.00821142578125,2.669921875
1469.7265625,0.075869140625,0.156025390625,9.267578125,5.302734375,1.580693359375,29.58984375,0.59765625,-1.494140625,0.00821142578125,1.599609375
1469.7265625,0.08811523437499999,0.035419921875,8.935546875,1.201171875,4.702568359375,9.47265625,0.96484375,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.075869140625,0.035419921875,8.935546875,1.201171875,4.702568359375,9.47265625,0.96484375,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.156025390625,8.935546875,1.201171875,4.702568359375,9.47265625,0.96484375,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,9.267578125,1.201171875,4.702568359375,9.47265625,0.96484375,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,8.935546875,5.302734375,4.702568359375,9.47265625,0.96484375,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,8.935546875,1.201171875,1.580693359375,9.47265625,0.96484375,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,8.935546875,1.201171875,4.702568359375,29.58984375,0.96484375,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,8.935546875,1.201171875,4.702568359375,9.47265625,0.59765625,2.853515625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,8.935546875,1.201171875,4.702568359375,9.47265625,0.96484375,-1.494140625,0.007747363281250002,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,8.935546875,1.201171875,4.702568359375,9.47265625,0.96484375,2.853515625,0.00821142578125,1.599609375
1004.8828125,0.08811523437499999,0.035419921875,8.935546875,1.201171875,4.702568359375,9.47265625,0.96484375,2.853515625,0.007747363281250002,1.599609375
1094.7265625,0.052119140625,0.084775390625,0.517578125,9.052734375,0.331943359375,17.08984375,3.09765625,0.755859375,0.00449892578125,1.419921875
1379.8828125,0.052119140625,0.084775390625,0.517578125,9.052734375,0.331943359375,17.08984375,3.09765625,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.016865234375,0.084775390625,0.517578125,9.052734375,0.331943359375,17.08984375,3.09765625,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.106669921875,0.517578125,9.052734375,0.331943359375,17.08984375,3.09765625,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.084775390625,5.185546875,9.052734375,0.331943359375,17.08984375,3.09765625,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.084775390625,0.517578125,9.951171875,0.331943359375,17.08984375,3.09765625,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.084775390625,0.517578125,9.052734375,0.956318359375,17.08984375,3.09765625,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.084775390625,0.517578125,9.052734375,0.331943359375,96.97265625,3.09765625,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.084775390625,0.517578125,9.052734375,0.331943359375,17.08984375,3.46484375,0.755859375,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.084775390625,0.517578125,9.052734375,0.331943359375,17.08984375,3.09765625,2.103515625,0.00449892578125,1.419921875
1094.7265625,0.052119140625,0.084775390625,0.517578125,9.052734375,0.331943359375,17.08984375,3.09765625,0.755859375,0.00898486328125,1.419921875
1094.7265625,0.016865234375,0.106669921875,5.185546875,9.951171875,0.956318359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.052119140625,0.106669921875,5.185546875,9.951171875,0.956318359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.084775390625,5.185546875,9.951171875,0.956318359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.106669921875,0.517578125,9.951171875,0.956318359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.052734375,0.956318359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.951171875,0.331943359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.951171875,0.956318359375,17.08984375,3.46484375,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.951171875,0.956318359375,96.97265625,3.09765625,2.103515625,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.951171875,0.956318359375,96.97265625,3.46484375,0.755859375,0.00898486328125,1.849609375
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.951171875,0.956318359375,96.97265625,3.46484375,2.103515625,0.00449892578125,1.849609375
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.951171875,0.956318359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.419921875
1379.8828125,0.016865234375,0.106669921875,5.185546875,9.951171875,0.956318359375,96.97265625,3.46484375,2.103515625,0.00898486328125,1.849609375
879.8828125,0.147119140625,0.179775390625,5.517578125,4.052734375,5.326943359375,67.08984375,1.09765625,-2.244140625,0.00944892578125,2.419921875
594.7265625,0.111865234375,0.179775390625,5.517578125,4.052734375,5.326943359375,67.08984375,1.09765625,-2.244140625,0.00944892578125,2.419921875
879.8828125,0.111865234375,0.011669921875,0.185546875,4.951171875,5.951318359375,46.97265625,1.46484375,-0.896484375,0.00944892578125,2.849609375
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.240234375,7.512255859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.482421875
