"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"s_imperv",0.00514836,0.00360399,0.00402356,0.00404076,0.00514446,0.00402356,0.00112288,0.00252772,0.00181211,0.00213907,0.00073134,0.00199011
"s_perv",0.0032335,0.0026694,0.00294764,0.00300521,0.00323595,0.00294764,0.00223095,0.00175234,0.00152871,0.00194039,0.00163785,0.00143419
"k_sat",0.04728377,0.02851055,0.02318208,0.02220477,0.04727282,0.02318208,0.00397529,0.00712756,0.00412078,0.00478398,0.00551302,0.00859877
"per_routed",0.27036188,0.05026832,0.02616933,0.0256604,0.27036968,0.02616933,0.01150071,0.00593438,0.00317329,0.00439273,0.01064196,0.00374723
"cmelt",0.00940235,0.01524009,0.03137708,0.03506967,0.00940858,0.03137708,0.00310452,0.00329723,0.00347051,0.00654164,0.00257684,0.00631306
"Tb",0.00547399,0.01995698,0.03386475,0.03449023,0.00546537,0.03386475,0.00225464,0.0019776,0.00524073,0.00204293,0.00266784,0.00437
"A1",0.50282002,0.42230867,0.4962848,0.50387261,0.50281131,0.4962848,0.01095879,0.01242868,0.01019964,0.01331524,0.01426072,0.01351964
"B1",0.08295966,0.30108712,0.20596573,0.19554678,0.08297281,0.20596573,0.00770968,0.00899192,0.01682077,0.00572902,0.00956636,0.00879212
"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"w",0.05675567,0.07439168,0.06666229,0.06605368,0.055818,0.06658391,0.00481413,0.00550311,0.00363567,0.00562997,0.00404127,0.00461229
"n_imperv",0.06648639,0.08936209,0.06989714,0.0702206,0.06618768,0.06973973,0.00449848,0.00411504,0.00582854,0.00407531,0.00324779,0.00360123
"n_perv",0.0616183,0.05951934,0.05916619,0.05904616,0.06053804,0.05883264,0.00291796,0.0044613,0.0045691,0.0039473,0.00576047,0.00358988
"s_imperv",0.0585447,0.05466277,0.05787621,0.05679624,0.05849287,0.05757375,0.00542679,0.0031105,0.00468394,0.00416361,0.00491568,0.00449435
"s_perv",0.05202026,0.05771446,0.05672257,0.05628716,0.0527253,0.05652559,0.00339264,0.00265314,0.00472046,0.00458739,0.00505746,0.00409514
"k_sat",0.07042645,0.06879742,0.06640527,0.06524695,0.07005742,0.06549389,0.00456793,0.00289233,0.00412231,0.004596,0.00415036,0.00634478
"per_routed",0.23870717,0.09779994,0.08479671,0.08537905,0.24034801,0.08467056,0.00430239,0.00492197,0.00349919,0.00472014,0.00407124,0.00424238
"cmelt",0.06507082,0.05880847,0.06902447,0.06767395,0.06415296,0.06948771,0.00416268,0.00514608,0.00442832,0.00498505,0.00241689,0.00464222
"Tb",0.05520119,0.0707452,0.07821418,0.07763716,0.05641612,0.07787382,0.0036784,0.00379784,0.00359614,0.00410454,0.00262511,0.00391792
"A1",0.29158816,0.35913499,0.40596774,0.40655108,0.29268529,0.40533465,0.00538064,0.00733916,0.00424366,0.00459261,0.0078673,0.00719551
