Reff,MeanDiff,FlowWeightedReff,VolumeError
-0.836742731205914,0.0014590951121417198,-3.02788109416798,-4.13086235241322
-1.1026964247614899,0.0138634976388481,-3.69221431232173,-4.4850527829296
-1.9783495740211001,0.0005442962314115019,-7.473695334346,-5.0357375149613395
-1.9339087978106102,0.0205259892265829,-5.2604700390004,-4.0744893195761405
-1.3203257810198799,0.131092355293765,-1.02739721765802,-0.32481725389543703
-1.62790116724345,0.103449549347787,-1.33378285770138,-0.456151164123026
-2.15499650926539,0.0226374782250195,-12.793849618077,-4.551191870086059
0.400607945079428,0.5904753346811321,0.534128240217903,-0.352961070711001
-1.10727212401574,0.0130783960569319,-2.24989156722252,-0.342199008830681
-1.5371401196617498,0.0298081915854191,-9.11040797621892,-4.85597722589237
-0.651491116535605,0.0647862923259446,-3.94779470635321,-3.0400543658123302
-1.35904876736283,0.0993161467223404,-1.77495219460511,-0.530649638898922
-0.9683581689656819,0.0336630836313805,-6.86119759212223,-5.23628559212723
-1.4499051092422302,0.37348684469630195,-0.299852809547993,0.33514264400322696
-1.8089091311919099,0.00727562145892547,-7.656895355531599,-4.47642236105959
-1.95295552056297,0.007640116100859171,-7.08366182386583,-4.977771451554941
-1.2723308235508999,0.008449869554307609,-11.529712135628,-4.728292346552291
-0.919150654059169,0.00342074007016816,-5.83304152156532,-4.32182629407908
-0.41300912324745603,0.273562708039862,-0.34569641856002503,0.32086182987138695
-0.8772759671269891,0.0284515853550313,-5.50186440568689,-3.74710087195511
-1.4229175587151799,0.0441155344807326,-5.27593010133206,-2.9366199505991806
-1.07290640606783,0.0620600285941388,-14.055612049749,-2.08796979791602
-0.83433663566346,0.025726409716992003,-5.0098142891542,-3.58021937516263
-0.7694598382387471,0.0367498309460502,-4.30787236640244,-2.15795423973172
-1.1138678047105202,0.14292716896852498,-5.800013672958991,-3.74168252127343
-1.01788568466125,0.0233146016155456,-12.6660488579651,-1.00664701262688
-0.607409748589632,0.110934261869468,-0.7506728885733759,-3.29848862636114
-1.2295214190939598,0.0721860178949276,-2.6992998849693595,-1.1353979530874199
0.192024199472423,0.245669475509951,-1.4397399747318402,-0.67005806449427
-0.401064534018169,0.0205855055485653,-1.29420781531036,-2.07585823098193
-1.8434380672711,0.0356616025621024,-16.8427840185952,-5.01154981873825
